POWER	18446744073709551615	18446744073709551615	18446744073709551615
PLAY_STOP	1086277560	18446744073709551615	18446744073709551615
BACK	18446744073709551615	18446744073709551615	18446744073709551615
PREV	1086271440	18446744073709551615	18446744073709551615
LIST	18446744073709551615	18446744073709551615	18446744073709551615
NEXT	1086275520	18446744073709551615	18446744073709551615
VOLUME_DOWN	1086275010	18446744073709551615	18446744073709551615
MODE	1086277050	18446744073709551615	18446744073709551615
VOLUME_UP	1086270930	18446744073709551615	18446744073709551615
1	18446744073709551615	18446744073709551615	18446744073709551615
2	18446744073709551615	18446744073709551615	18446744073709551615
3	18446744073709551615	18446744073709551615	18446744073709551615
4	18446744073709551615	18446744073709551615	18446744073709551615
5	18446744073709551615	18446744073709551615	18446744073709551615
6	18446744073709551615	18446744073709551615	18446744073709551615
7	18446744073709551615	18446744073709551615	18446744073709551615
8	18446744073709551615	18446744073709551615	18446744073709551615
9	18446744073709551615	18446744073709551615	18446744073709551615
0	18446744073709551615	18446744073709551615	18446744073709551615
